SMILES,MolecularWeight,LogP,RotatableBonds,HBondAcceptors,HBondDonors,FormalCharge
NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc(Br)cc32)cc1,393.973523312,1.8647999999999993,3,5,3,0
CNS(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccccc32)cc1,329.08341234000005,1.9997999999999998,4,4,3,0
[H]/N=C(\N)NS(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccccc32)cc1,357.0895603400001,1.2634699999999999,4,5,5,0
O=C1Nc2ccc(S(=O)(=O)O)cc2/C1=C1/Nc2ccccc2C1=O,342.03104241999995,1.9049000000000003,1,5,3,0
c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,323.17461029200007,4.055600000000002,5,5,2,0
NS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,402.147409564,2.702999999999999,6,7,3,0
O=C(c1ccccc1)c1cnc2n[nH]cc2c1OCc1ccccc1,329.11642672,3.767900000000002,5,4,1,0
NS(=O)(=O)c1ccc(Nc2cc(-c3ccc([N+](=O)[O-])cc3)[nH]n2)cc1,359.06882489599997,2.3758999999999992,5,6,3,0
CCCCOc1c(C(=O)c2c(F)cc(Br)cc2F)cnc2[nH]ncc12,409.023745228,4.408500000000003,6,4,1,0
Cc1ccc(F)c(Nc2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)c1,373.100873972,3.05872,5,6,3,0
CC(C)[C@H](CO)Nc1nc(Nc2cccc(Cl)c2)c2ncn(C(C)C)c2n1,388.17783710000003,4.233000000000002,7,7,3,0
CC(C)[C@H](CO)Nc1nc(Nc2ccc(C(=O)[O-])c(Cl)c2)c2ncn(C(C)C)c2n1,431.16038988790996,2.5965,8,9,3,-1
[NH3+][C@H]1CC[C@@H](Nc2nc(NCC3CC3)c3ncn(C4CCCC4)c3n2)CC1,370.27137044409,2.7283,6,6,3,1
NC(=O)c1ccc(Nc2nc(N)c(N=O)c(OCC3CCCCC3)n2)cc1,370.175338564,3.258300000000001,7,8,3,0
O=C1Nc2ccccc2/C1=C/Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,398.050732308,3.349,5,6,3,0
CNS(=O)(=O)Cc1ccc(N/N=C2\C(=O)Nc3ccc4ncsc4c32)cc1,401.0616313400001,2.1138,5,7,3,0
O=C1Nc2ccc(-c3cnco3)cc2/C1=C/Nc1ccc2c(c1)CS(=O)(=O)C2,393.07832695999997,3.1751000000000014,3,6,2,0
C[N@H+]1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,402.11027687208997,1.8875000000000002,2,5,4,1
COc1cc[nH]c1/C=C1\C(=O)Nc2ccc([N+](=O)[O-])c(N3CCC[C@H](C(N)=O)C3)c21,411.15426877199997,2.1258999999999997,5,6,3,0
C[N@H+]1CC[C@H](c2c(O)cc(O)c3c2O/C(=C\c2ccc(S(N)(=O)=O)cc2)C3=O)CC1,431.12713387608994,0.7535000000000005,3,6,4,1
[NH3+][C@H]1CC[C@@H](Nc2nc(NCc3ccccc3)c3ncn(C4CCCC4)c3n2)CC1,406.27137044409005,3.5185000000000004,6,6,3,1
Cc1nc(C)c(-c2[nH]nc3c2C(=O)c2c(NC(=O)NN4CC[NH+](C)CC4)cccc2-3)s1,438.17067042809003,1.22824,3,6,4,1
O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,449.0616313400001,3.8972000000000016,5,7,3,0
